delivery_date,hour_ending,repeated_hour_flag,settlement_point,settlement_point_price
1/1/2026,16:00,N,HB_NORTH,13.59
1/1/2026,16:00,N,HB_PAN,12.61
1/1/2026,16:00,N,HB_SOUTH,13.05
1/1/2026,16:00,N,HB_WEST,13.47
1/1/2026,16:00,N,LZ_AEN,13.05
1/1/2026,16:00,N,LZ_CPS,13.11
1/1/2026,16:00,N,LZ_HOUSTON,13.19
1/1/2026,16:00,N,LZ_LCRA,13.08
1/1/2026,16:00,N,LZ_NORTH,13.65
1/1/2026,16:00,N,LZ_RAYBN,13.74
1/1/2026,16:00,N,LZ_SOUTH,13.24
1/1/2026,16:00,N,LZ_WEST,13.49
1/1/2026,17:00,N,HB_BUSAVG,20.94
1/1/2026,17:00,N,HB_HOUSTON,20.8
1/1/2026,17:00,N,HB_HUBAVG,20.93
1/1/2026,17:00,N,HB_NORTH,20.99
1/1/2026,17:00,N,HB_PAN,19.96
1/1/2026,17:00,N,HB_SOUTH,20.83
1/1/2026,17:00,N,HB_WEST,21.12
1/1/2026,17:00,N,LZ_AEN,21.28
1/1/2026,17:00,N,LZ_CPS,21.07
1/1/2026,17:00,N,LZ_HOUSTON,20.78
1/1/2026,17:00,N,LZ_LCRA,21.09
1/1/2026,17:00,N,LZ_NORTH,20.99
1/1/2026,17:00,N,LZ_RAYBN,20.98
1/1/2026,17:00,N,LZ_SOUTH,21.1
1/1/2026,17:00,N,LZ_WEST,21.19
1/1/2026,18:00,N,HB_BUSAVG,25.77
1/1/2026,18:00,N,HB_HOUSTON,25.62
1/1/2026,18:00,N,HB_HUBAVG,25.84
1/1/2026,18:00,N,HB_NORTH,25.7
1/1/2026,18:00,N,HB_PAN,23.73
1/1/2026,18:00,N,HB_SOUTH,25.68
1/1/2026,18:00,N,HB_WEST,26.37
1/1/2026,18:00,N,LZ_AEN,25.93
1/1/2026,18:00,N,LZ_CPS,25.84
1/1/2026,18:00,N,LZ_HOUSTON,25.62
1/1/2026,18:00,N,LZ_LCRA,25.84
1/1/2026,18:00,N,LZ_NORTH,25.71
1/1/2026,18:00,N,LZ_RAYBN,25.7
1/1/2026,18:00,N,LZ_SOUTH,25.88
1/1/2026,18:00,N,LZ_WEST,27.22
1/1/2026,19:00,N,HB_BUSAVG,25.47
1/1/2026,19:00,N,HB_HOUSTON,25.15
1/1/2026,19:00,N,HB_HUBAVG,25.72
1/1/2026,19:00,N,HB_NORTH,25.3
1/1/2026,19:00,N,HB_PAN,21.39
1/1/2026,19:00,N,HB_SOUTH,25.03
1/1/2026,19:00,N,HB_WEST,27.39
1/1/2026,19:00,N,LZ_AEN,25.37
1/1/2026,19:00,N,LZ_CPS,25.28
1/1/2026,19:00,N,LZ_HOUSTON,25.14
1/1/2026,19:00,N,LZ_LCRA,25.27
1/1/2026,19:00,N,LZ_NORTH,25.31
1/1/2026,19:00,N,LZ_RAYBN,25.31
1/1/2026,19:00,N,LZ_SOUTH,25.23
